iter,Gaussian,t(nu=4)
1026,0.002600,0.002447
1027,0.002600,0.002447
1028,0.002601,0.002448
1029,0.002601,0.002448
1030,0.002601,0.002448
1031,0.002602,0.002448
1032,0.002602,0.002448
1033,0.002602,0.002449
1034,0.002603,0.002449
1035,0.002603,0.002449
1036,0.002604,0.002449
1037,0.002604,0.002450
1038,0.002604,0.002450
1039,0.002605,0.002450
1040,0.002605,0.002450
1041,0.002606,0.002450
1042,0.002606,0.002451
1043,0.002606,0.002451
1044,0.002607,0.002451
1045,0.002607,0.002451
1046,0.002608,0.002451
1047,0.002608,0.002452
1048,0.002608,0.002452
1049,0.002609,0.002452
1050,0.002609,0.002452
1051,0.002610,0.002452
1052,0.002610,0.002453
1053,0.002610,0.002453
1054,0.002611,0.002453
1055,0.002611,0.002453
1056,0.002612,0.002453
1057,0.002612,0.002454
1058,0.002612,0.002454
1059,0.002613,0.002454
1060,0.002613,0.002454
1061,0.002614,0.002454
1062,0.002614,0.002455
1063,0.002614,0.002455
1064,0.002615,0.002455
1065,0.002615,0.002455
1066,0.002615,0.002455
1067,0.002616,0.002456
1068,0.002616,0.002456
1069,0.002617,0.002456
1070,0.002617,0.002456
1071,0.002617,0.002456
1072,0.002618,0.002457
1073,0.002618,0.002457
1074,0.002619,0.002457
1075,0.002619,0.002457
1076,0.002619,0.002458
1077,0.002620,0.002458
1078,0.002620,0.002458
1079,0.002621,0.002458
1080,0.002621,0.002458
1081,0.002621,0.002459
1082,0.002622,0.002459
1083,0.002622,0.002459
1084,0.002623,0.002459
1085,0.002623,0.002459
1086,0.002623,0.002460
1087,0.002624,0.002460
1088,0.002624,0.002460
1089,0.002624,0.002460
1090,0.002625,0.002460
1091,0.002625,0.002461
1092,0.002626,0.002461
1093,0.002626,0.002461
1094,0.002626,0.002461
1095,0.002627,0.002461
1096,0.002627,0.002462
1097,0.002628,0.002462
1098,0.002628,0.002462
1099,0.002628,0.002462
1100,0.002629,0.002462
1101,0.002629,0.002463
1102,0.002630,0.002463
1103,0.002630,0.002463
1104,0.002630,0.002463
1105,0.002631,0.002463
1106,0.002631,0.002464
1107,0.002632,0.002464
1108,0.002632,0.002464
1109,0.002632,0.002464
1110,0.002633,0.002464
1111,0.002633,0.002465
1112,0.002633,0.002465
1113,0.002634,0.002465
1114,0.002634,0.002465
1115,0.002635,0.002465
1116,0.002635,0.002466
1117,0.002635,0.002466
1118,0.002636,0.002466
1119,0.002636,0.002466
1120,0.002637,0.002467
1121,0.002637,0.002467
1122,0.002637,0.002467
1123,0.002638,0.002467
1124,0.002638,0.002467
1125,0.002638,0.002468
1126,0.002639,0.002468
1127,0.002639,0.002468
1128,0.002640,0.002468
1129,0.002640,0.002468
1130,0.002640,0.002469
1131,0.002641,0.002469
1132,0.002641,0.002469
1133,0.002642,0.002469
1134,0.002642,0.002469
1135,0.002642,0.002470
1136,0.002643,0.002470
1137,0.002643,0.002470
1138,0.002644,0.002470
1139,0.002644,0.002470
1140,0.002644,0.002471
1141,0.002645,0.002471
1142,0.002645,0.002471
1143,0.002645,0.002471
1144,0.002646,0.002471
1145,0.002646,0.002472
1146,0.002647,0.002472
1147,0.002647,0.002472
